date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,560400.0,407500.0,1305500.0,302200.0,214200.0,1325800.0,746100.0,,2074500.0,81700.0,2902600.0,2297100.0,837500.0,53100.0,454600.0,933100.0,5462200.0,1453300.0,109200.0,6100.0,,168978700.0,38300.0,100.0,9627100.0,2039200.0,330900.0,357000.0,337100.0,72700.0,2100.0,188900.0,991400.0,4553300.0,14360000.0,3393900.0,621200.0,3173200.0,504800.0,188800.0,4296500.0,885900.0,94700.0,,14058000.0,1279900.0,5184200.0,338822200.0,175600.0,816300.0,15569400.0,1018900.0,61800.0,211800.0,190500.0,41200.0,701200.0,495700.0,275500.0,56500.0,10357800.0,3110900.0,100.0,4211800.0
2003,,827600.0,371700.0,1764300.0,250700.0,184300.0,2108600.0,699600.0,25000.0,2170900.0,71000.0,3918900.0,2210900.0,870100.0,53800.0,344000.0,1234700.0,5239800.0,1302300.0,120000.0,11000.0,,157312900.0,93700.0,1500.0,8996200.0,1812600.0,316700.0,406700.0,678000.0,87000.0,800.0,184600.0,,504000.0,14983100.0,3056400.0,1292800.0,31400.0,1356800.0,198600.0,3412300.0,954200.0,215000.0,0.0,14249000.0,762100.0,7850100.0,428297200.0,138500.0,932700.0,13118700.0,1217700.0,172800.0,1081400.0,289400.0,25200.0,1010900.0,406300.0,242800.0,50200.0,13086500.0,2920200.0,0.0,1692300.0
2004,5848300.0,904300.0,542900.0,1835700.0,313500.0,140400.0,3017900.0,863900.0,,2072700.0,144100.0,6891600.0,2329700.0,1412000.0,47200.0,546200.0,1110700.0,6753900.0,1657900.0,93200.0,16900.0,,30992200.0,357100.0,2600.0,2135000.0,1554700.0,315200.0,113400.0,2422000.0,147200.0,800.0,97900.0,0.0,3000.0,13605600.0,3568800.0,1167700.0,4400.0,320700.0,286300.0,5183100.0,2915400.0,194600.0,,12613000.0,5087000.0,10552300.0,558201900.0,168600.0,797400.0,11491900.0,986000.0,196600.0,634100.0,339900.0,33300.0,821300.0,496000.0,397100.0,67300.0,8248800.0,4600600.0,0.0,1901400.0
2005,,1260000.0,488600.0,1610800.0,219200.0,137700.0,3622100.0,925500.0,,1871300.0,101200.0,3469700.0,2024200.0,1441700.0,31500.0,493300.0,800200.0,8132400.0,1291200.0,110100.0,14100.0,,41255300.0,59400.0,3100.0,1914800.0,1549200.0,313400.0,93900.0,4304000.0,240700.0,400.0,125100.0,0.0,3300.0,15850400.0,3531500.0,1529100.0,31595700.0,396400.0,246200.0,5405400.0,1893200.0,288500.0,,12990500.0,458800.0,6517000.0,779814400.0,184600.0,342300.0,8819000.0,953900.0,250600.0,1171000.0,211400.0,18500.0,950700.0,715800.0,177200.0,43500.0,11957100.0,3114100.0,0.0,2261300.0
2006,,1328400.0,528100.0,1519700.0,153300.0,87300.0,2237500.0,705100.0,,1848100.0,93700.0,3401100.0,2033000.0,714600.0,36700.0,662400.0,761400.0,6474700.0,1646200.0,137600.0,22400.0,,3116500.0,17600.0,10000.0,1427000.0,1316100.0,274600.0,57300.0,3247900.0,305700.0,700.0,78900.0,0.0,71800.0,12906700.0,3446400.0,1181600.0,246664200.0,441200.0,186600.0,4896700.0,762600.0,304400.0,,12296300.0,907700.0,6651800.0,331845200.0,117600.0,787300.0,5847200.0,978700.0,145500.0,540600.0,253400.0,12600.0,631800.0,415000.0,257200.0,71900.0,15649900.0,3369600.0,0.0,2586500.0
2007,,1454300.0,598200.0,1580000.0,213300.0,261300.0,2929300.0,832500.0,19500.0,2268800.0,102900.0,5991700.0,2283100.0,2049900.0,44100.0,816500.0,931200.0,7751100.0,2604600.0,289200.0,12400.0,,19236400.0,22400.0,13200.0,1821100.0,1353600.0,254000.0,62800.0,5406400.0,355200.0,265600.0,70700.0,,95100.0,14585000.0,4096800.0,2103100.0,360138200.0,1073800.0,162700.0,5889000.0,721100.0,352100.0,,16536000.0,29745100.0,10761900.0,433217900.0,139600.0,10868000.0,16488900.0,1459600.0,228800.0,43800.0,239600.0,15300.0,814300.0,882700.0,262800.0,119100.0,25961500.0,4705400.0,,3414800.0
2008,103759600.0,1498600.0,498900.0,1418000.0,275800.0,289900.0,2470500.0,1016900.0,2200.0,1738200.0,89900.0,1860100.0,2192300.0,2318800.0,41100.0,1249800.0,750600.0,7449100.0,2827900.0,114500.0,12800.0,,101472100.0,16100.0,17300.0,1376300.0,1623300.0,269200.0,40400.0,2524800.0,229100.0,136200.0,51800.0,0.0,37100.0,12355500.0,3525400.0,2925500.0,278889900.0,244000.0,107900.0,5699300.0,3179300.0,333600.0,,18339900.0,5760500.0,9982300.0,499082000.0,145700.0,5084400.0,16444700.0,963300.0,226900.0,613200.0,213700.0,16400.0,699700.0,525100.0,146600.0,50900.0,34808700.0,3432500.0,,2513100.0
2009,37157600.0,781300.0,435700.0,551600.0,142400.0,159400.0,1425100.0,367100.0,14400.0,2031000.0,31900.0,2499700.0,1641100.0,1868800.0,19400.0,808000.0,2279700.0,2151800.0,2023000.0,250200.0,28600.0,,26910300.0,14600.0,21600.0,2454800.0,1175500.0,519500.0,32200.0,2074800.0,182600.0,11000.0,31200.0,,80500.0,13185300.0,2207900.0,1961100.0,210051700.0,162400.0,43700.0,3549400.0,1971800.0,276200.0,,11760200.0,1028200.0,6132300.0,586947200.0,108500.0,7030200.0,20667900.0,1350500.0,189200.0,410700.0,101800.0,10000.0,381700.0,495100.0,155900.0,53900.0,27049300.0,2240800.0,,4693500.0
2010,98606582.0,498047.0,363830.0,607602.0,264422.0,214243.0,1147311.0,472255.0,16201.0,1768793.0,49178.0,2422455.0,1418761.0,1746496.0,21942.0,489500.0,517541.0,3178484.0,1219695.0,273037.0,10100.0,,41112211.0,19839.0,18040.0,11448991.0,928614.0,394258.0,35103.0,2312341.0,157904.0,213165.0,26101.0,52.0,63402.0,10959467.0,2070571.0,1379546.0,90204005.0,131195.0,61835.0,2283646.0,963920.0,182286.0,29.0,9493722.0,3262474.0,1708467.0,604356996.0,261708.0,3802568.0,13514730.0,919575.0,49624.0,1422752.0,94010.0,19223.0,452398.0,347371.0,121376.0,31473.0,28598462.0,2199372.0,,1935892.0
2011,,264908.0,688573.0,330207.0,207630.0,113571.0,1053299.0,384524.0,4936.0,1027899.0,73754.0,2048473.0,1161230.0,2058722.0,197532.0,435415.0,854238.0,2403334.0,778241.0,375471.0,10316.0,,45982922.0,3881.0,15564.0,12281347.0,953678.0,319373.0,210.0,768895.0,135190.0,63702.0,27532.0,,38522.0,9479890.0,2104737.0,438446.0,30102679.0,150670.0,41322.0,2713937.0,1868142.0,172751.0,25.0,4601357.0,224175.0,877833.0,731180455.0,437804.0,1916149.0,8129915.0,887148.0,24058.0,1254198.0,182479.0,18956.0,200697.0,323031.0,127742.0,24710.0,25727175.0,2316816.0,3.0,2877634.0
2012,,268666.0,202890.0,292329.0,259428.0,88410.0,620337.0,289417.0,12392.0,768325.0,67896.0,1257654.0,700340.0,1166864.0,41675.0,111911.0,1549331.0,1940517.0,549386.0,325919.0,41563.0,,1404020.0,9775.0,10286.0,244650.0,604445.0,278735.0,47028.0,754406.0,101550.0,216423.0,11531.0,,36008.0,7149107.0,1904295.0,207805.0,6643317.0,174406.0,24341.0,1561436.0,486467.0,58398.0,5.0,3150533.0,479166.0,781630.0,620712070.0,353378.0,1228021.0,8671121.0,935539.0,39278.0,2084846.0,119338.0,22895.0,163477.0,224021.0,138160.0,18733.0,25325946.0,2273717.0,2.0,2467386.0
2013,,154918.0,207047.0,457823.0,163532.0,18488039.0,654487.0,371973.0,30684.0,732112.0,69315.0,1228414.0,809493.0,512229.0,65906.0,158677.0,1082129.0,1549843.0,482707.0,80151.0,14947.0,,2764433.0,2356.0,5453.0,23536049.0,694523.0,267996.0,228.0,199519.0,87576.0,,20778.0,,39167.0,7060739.0,1643393.0,102202.0,2306958.0,203865.0,41952.0,1129444.0,270009.0,86492.0,1.0,2803485.0,864937.0,1374362.0,607511451.0,336467.0,1602538.0,11374472.0,1571461.0,169078.0,755814.0,115324.0,10674.0,109444.0,195812.0,134711.0,27325.0,28316816.0,1824911.0,,2676977.0
