Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,615061494.0,63890120.0,551171374.0
1,Beverages and tobacco,Ποτά και καπνός,31002984.0,10910501.0,20092483.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",23800118.0,268579228.0,-244779110.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",580877054.0,1183482767.0,-602605713.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,70281212.0,72740.0,70208472.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,143148491.0,212279468.0,-69130977.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",487686414.0,83504043.0,404182371.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,303692419.0,318199108.0,-14506689.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,146163054.0,121860447.0,24302607.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",177789.0,137921.0,39868.0
