date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2002-01-01,12843137.0,6159411.0,731307.0,485887.0,2561066.0,5825918.0,5179391.0,1646779.0,7088551.0,1846936.0,12843137.0,6159411.0,731307.0,485887.0,2561066.0,5825918.0,5179391.0,1646779.0,7088551.0,1846936.0
2002-02-01,10644149.0,6276301.0,1677989.0,1145631.0,2715066.0,10671088.0,2802583.0,1808682.0,10295105.0,1221079.0,11743643.0,6217856.0,1204648.0,815759.0,2638066.0,8248503.0,3990987.0,1727730.5,8691828.0,1534007.5
2002-03-01,12451202.0,5414188.0,821309.0,1074531.0,4693159.0,20299472.0,4422923.0,1269034.0,9479341.0,1839948.0,11979496.0,5949966.666666667,1076868.3333333333,902016.3333333334,3323097.0,12265492.666666666,4134965.6666666665,1574831.6666666667,8954332.333333334,1635987.6666666667
2002-04-01,11805156.0,6306357.0,1610354.0,1484897.0,2303536.0,19156402.0,10855673.0,2148639.0,12009126.0,2286382.0,11935911.0,6039064.25,1210239.75,1047736.5,3068206.75,13988220.0,5815142.5,1718283.5,9718030.75,1798586.25
2002-05-01,15409571.0,5998374.0,929972.0,827650.0,2906768.0,8856932.0,8263453.0,928968.0,7840345.0,1936537.0,12630643.0,6030926.2,1154186.2,1003719.2,3035919.0,12961962.4,6304804.6,1560420.4,9342493.6,1826176.4
2002-06-01,12912587.0,6054305.0,1245182.0,825640.0,3121464.0,341447.0,1176927.0,670102.0,8182848.0,1175825.0,12677633.666666666,6034822.666666667,1169352.1666666667,974039.3333333334,3050176.5,10858543.166666666,5450158.333333333,1412034.0,9149219.333333334,1717784.5
2002-07-01,16401755.0,7885438.0,2353107.0,904086.0,4514063.0,18112757.0,1350523.0,1626470.0,8897262.0,1985565.0,13270736.666666666,6322493.833333333,1439652.1666666667,1043739.1666666666,3375676.0,12906349.666666666,4812013.666666667,1408649.1666666667,9450671.166666666,1740889.3333333333
2002-08-01,15071961.0,5527447.0,876640.0,572852.0,2672100.0,736359.0,1687732.0,744495.0,7619142.0,984878.0,14008705.333333334,6197684.833333333,1306094.0,948276.0,3368515.0,11250561.5,4626205.166666667,1231284.6666666667,9004677.333333334,1701522.5
2002-09-01,11033984.0,5251121.0,2002015.0,902853.0,2279579.0,7912886.0,1354695.0,1073465.0,7953946.0,1807570.0,13772502.333333334,6170507.0,1502878.3333333333,919663.0,2966251.6666666665,9186130.5,4114833.8333333335,1198689.8333333333,8750444.833333334,1696126.1666666667
2002-10-01,10871551.0,8140588.0,1536154.0,903861.0,2752277.0,783617.0,1060905.0,1235684.0,6678649.0,2304359.0,13616901.5,6476212.166666667,1490511.6666666667,822823.6666666666,3041041.8333333335,6123999.666666667,2482372.5,1046530.6666666666,7862032.0,1699122.3333333333
