date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,149840326.0,78558130.0,15337909.0,10727113.0,38576277.0,101939215.0,42838640.0,15166145.0,100255441.0,21646203.0
2003,126417655.0,71061571.0,32463714.0,10035704.0,170331426.0,110507127.0,50552458.0,15110190.0,93358757.0,27321412.0
2004,192686475.0,61578673.0,69502685.0,9605958.0,65192928.0,137766651.0,40939886.0,15142534.0,95885695.0,21677564.0
2005,205566857.0,53275672.0,62711468.0,10963883.0,87718682.0,164511092.0,58957787.0,15649273.0,99263373.0,20904514.0
2006,175330901.0,45799719.0,49014876.0,17100662.0,58585711.0,181989364.0,27243231.0,19107414.0,109084167.0,20938260.0
2007,216142775.0,33367039.0,75222715.0,16966656.0,66244907.0,161794091.0,30148361.0,19330554.0,150455438.0,31371507.0
2008,253139303.0,41844613.0,42553237.0,12977853.0,78140506.0,464601241.0,37763233.0,22107045.0,118493430.0,23056404.0
2009,138101026.0,28238273.0,34086913.0,12065554.0,619519509.0,285738017.0,22189856.0,12675299.0,111518584.0,23462485.0
2010,130415134.0,24775611.0,37674073.0,12659229.0,273868839.0,321579642.0,9442242.0,19541718.0,124529425.0,20718202.0
2011,136508811.0,24857782.0,60026601.0,12347987.0,217147220.0,707948631.0,11810534.0,19209091.0,134909061.0,18976012.0
2012,229116677.0,23901439.0,66257520.0,13673524.0,117010690.0,352896353.0,21440278.0,15491284.0,150492804.0,17893550.0
2013,172826853.0,27179287.0,46858207.0,21384565.0,126202386.0,286078225.0,17627604.0,10854831.0,166846865.0,15521389.0
2014,181613292.0,31981550.0,51260451.0,18839822.0,123666477.0,154067618.0,19723497.0,18571423.0,181552255.0,24336525.0
2015,418219629.0,46132935.0,51859928.0,31339576.0,121352985.0,208836862.0,27153781.0,27077345.0,234645898.0,30401768.0
2016,310617385.0,45623745.0,69818820.0,34504388.0,96227683.0,197814897.0,31537286.0,20368353.0,247294255.0,33602058.0
2017,285536227.0,47645136.0,80163736.0,37739320.0,87334876.0,236202721.0,24384122.0,26514050.0,259195740.0,38320710.0
2018,544515219.0,49337377.0,70590098.0,42991164.0,90973322.0,211234003.0,25203734.0,21431854.0,273646269.0,40831450.0
2019,367864351.0,71876350.0,65697920.0,39534923.0,114731437.0,235283467.0,26206567.0,18136747.0,311998352.0,53840154.0
2020,256429886.0,68669448.0,65209493.0,35247548.0,135646759.0,129508304.0,20675010.0,19584520.0,342835688.0,63258876.0
2021,341829334.0,80793425.0,100694594.0,41030025.0,198345052.0,300357245.0,37949491.0,21185559.0,403201373.0,82408046.0
2022,459825193.0,119217427.0,826739.0,52268470.0,289820248.0,487912397.0,35616040.0,23499317.0,535027607.0,110314085.0
2023,396133572.0,118630621.0,442739.0,77159509.0,293257260.0,416572228.0,32735486.0,19982916.0,536622456.0,112818428.0
2024,397587789.0,146254892.0,604409.0,76780016.0,329950200.0,551061910.0,35849052.0,26235912.0,633637756.0,131471363.0
2025,487634598.0,146145508.0,177789.0,70287543.0,303693478.0,580876540.0,30957582.0,22540118.0,615061743.0,143148064.0
