date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2002-01-01,101440700.0,401100.0,43800.0,175400.0,38900.0,27378000.0,1368800.0,44400400.0,5214700.0,423400.0,101440700.0,401100.0,43800.0,175400.0,38900.0,27378000.0,1368800.0,44400400.0,5214700.0,423400.0
2002-02-01,36988800.0,312200.0,365100.0,405300.0,102800.0,48920600.0,994400.0,67513200.0,5937600.0,1791700.0,69214750.0,356650.0,204450.0,290350.0,70850.0,38149300.0,1181600.0,55956800.0,5576150.0,1107550.0
2002-03-01,76080300.0,187600.0,34800.0,372400.0,56300.0,85398700.0,903500.0,37098500.0,5387600.0,604200.0,71503266.66666667,300300.0,147900.0,317700.0,66000.0,53899100.0,1088900.0,49670700.0,5513300.0,939766.6666666666
2002-04-01,79948100.0,272200.0,59900.0,456200.0,47600.0,77262300.0,2318100.0,89899700.0,6652100.0,684200.0,73614475.0,293275.0,125900.0,352325.0,61400.0,59739900.0,1396200.0,59727950.0,5798000.0,875875.0
2002-05-01,161466700.0,265800.0,138500.0,264900.0,50500.0,32234600.0,2068400.0,8093700.0,4410400.0,541200.0,91184920.0,287780.0,128420.0,334840.0,59220.0,54238840.0,1530640.0,49401100.0,5520480.0,808940.0
2002-06-01,74852400.0,308400.0,71100.0,309900.0,44200.0,1301800.0,428400.0,18001000.0,4241300.0,431600.0,88462833.33333333,291216.6666666667,118866.66666666667,330683.3333333333,56716.666666666664,45416000.0,1346933.3333333333,44167750.0,5307283.333333333,746050.0
2002-07-01,96417500.0,436200.0,177000.0,324700.0,46000.0,74637200.0,549300.0,63642600.0,5468000.0,2569000.0,87625633.33333333,297066.6666666667,141066.66666666666,355566.6666666667,57900.0,53292533.333333336,1210350.0,47374783.333333336,5349500.0,1103650.0
2002-08-01,152542300.0,276700.0,146700.0,184000.0,67200.0,3262300.0,558100.0,19546700.0,4061000.0,563300.0,106884550.0,291150.0,104666.66666666667,318683.3333333333,51966.666666666664,45682816.666666664,1137633.3333333333,39380366.666666664,5036733.333333333,898916.6666666666
2002-09-01,75196600.0,263100.0,353300.0,342000.0,45500.0,31347700.0,575000.0,45295700.0,4964100.0,2059400.0,106737266.66666667,303733.3333333333,157750.0,313616.6666666667,50166.666666666664,36674316.666666664,1082883.3333333333,40746566.666666664,4966150.0,1141450.0
2002-10-01,37671700.0,422900.0,669400.0,337500.0,67000.0,2633800.0,432200.0,35551300.0,3238100.0,487800.0,99691200.0,328850.0,259333.33333333334,293833.3333333333,53400.0,24236233.333333332,768566.6666666666,31688500.0,4397150.0,1108716.6666666667
2002-11-01,40802000.0,397000.0,228300.0,276000.0,36200.0,2196800.0,608100.0,12447100.0,4637400.0,558800.0,79580416.66666667,350716.6666666667,274300.0,295683.3333333333,51016.666666666664,19229933.333333332,525183.3333333334,32414066.666666668,4434983.333333333,1111650.0
2002-12-01,76215600.0,386400.0,22000.0,291200.0,33000.0,32290400.0,913600.0,61937900.0,4671400.0,2876000.0,79807616.66666667,363716.6666666667,266116.6666666667,292566.6666666667,49150.0,24394700.0,606050.0,39736883.333333336,4506666.666666667,1519050.0
2003-01-01,36402000.0,451400.0,52000.0,384800.0,85300.0,38447400.0,931600.0,67787200.0,4389800.0,435600.0,69805033.33333333,366250.0,245283.33333333334,302583.3333333333,55700.0,18363066.666666668,669766.6666666666,40427650.0,4326966.666666667,1163483.3333333333
2003-02-01,14009600.0,459700.0,76800.0,268700.0,35700.0,88425200.0,1018200.0,15402900.0,4735400.0,435300.0,46716250.0,396750.0,233633.33333333334,316700.0,50450.0,32556883.333333332,746450.0,39737016.666666664,4439366.666666667,1142150.0
2003-03-01,46816600.0,287300.0,118000.0,424900.0,130700.0,40526700.0,956200.0,9944500.0,5337700.0,484100.0,41986250.0,400783.3333333333,194416.66666666666,330516.6666666667,64650.0,34086716.666666664,809983.3333333334,33845150.0,4501633.333333333,879600.0
