date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,1009622700.0,3929600.0,2309900.0,3739500.0,635200.0,418864200.0,11717900.0,503427800.0,58883700.0,13590600.0
2003,1019960500.0,3910600.0,2777600.0,3765600.0,1340100.0,441698900.0,13042700.0,619202300.0,53330600.0,8880500.0
2004,1497827900.0,4257500.0,4176800.0,2688200.0,592800.0,503159000.0,11892800.0,576168900.0,46645600.0,10510500.0
2005,1935270700.0,1971000.0,3229800.0,2842000.0,1358500.0,373037000.0,14857700.0,595572000.0,50666600.0,9475900.0
2006,1242216100.0,1666800.0,2554000.0,4022500.0,3459400.0,426437500.0,10278900.0,511167600.0,57023200.0,13540300.0
2007,778102800.0,2496900.0,4447200.0,4629000.0,2954000.0,303628900.0,10586200.0,593497800.0,70262900.0,38011000.0
2008,355483600.0,1747500.0,3352700.0,3539800.0,1114000.0,708507700.0,12383500.0,433444900.0,49863100.0,28849300.0
2009,336113000.0,1602300.0,2388100.0,3793800.0,2164700.0,637379600.0,7205700.0,162019300.0,51514000.0,32735900.0
2010,218049058.0,1026900.0,1951343.0,3574685.0,1566585.0,604913856.0,3912702.0,246971777.0,57302251.0,15361884.0
2011,130742385.0,1262873.0,2107175.0,3788366.0,1450816.0,1031795495.0,4460358.0,204341650.0,58597025.0,13157730.0
2012,764804723.0,1742008.0,2097117.0,4371317.0,2187363.0,454416692.0,5892106.0,268404980.0,59609240.0,4070415.0
2013,814097473.0,1860811.0,1632811.0,6318270.0,1650552.0,380847829.0,5334950.0,215904025.0,71295513.0,3392712.0
2014,881569656.0,1402323.0,1554879.0,4976713.0,5122451.0,240183116.0,5817052.0,278092622.0,75284524.0,10020927.0
2015,1950223535.0,2859830.0,2097654.0,6982172.0,2445773.0,385857866.0,6991522.0,312099396.0,100695946.0,5247160.0
2016,2664068614.0,3228777.0,2026299.0,7955862.0,2136661.0,473801431.0,7450706.0,313560270.0,95480336.0,12456547.0
2017,2419017938.0,3626243.0,1801596.0,7591074.0,2179110.0,622356596.0,6403955.0,388766748.0,85303275.0,15934529.0
2018,2341283347.0,2692968.0,2009939.0,9790679.0,2552483.0,414784302.0,6133806.0,383236188.0,96367786.0,26230127.0
2019,2048200069.0,2707886.0,2561992.0,10069991.0,4962978.0,488869045.0,6376330.0,367127168.0,109563826.0,24630961.0
2020,1793964197.0,4298158.0,2759583.0,9390856.0,5000158.0,417079133.0,5504574.0,347583228.0,124084855.0,31825145.0
2021,2514962913.0,3370328.0,10013227.0,9929590.0,11385055.0,652772417.0,10047288.0,293405899.0,147057758.0,28584178.0
2022,2579989757.0,3212842.0,167268.0,10549730.0,12059189.0,492221617.0,8540117.0,308444705.0,161672858.0,35375050.0
2023,2182950849.0,3382566.0,82466.0,12465474.0,14044703.0,547753001.0,8375870.0,277959721.0,168703467.0,20554840.0
2024,1949206669.0,3201293.0,72790.0,9665147.0,16545717.0,791676662.0,8868211.0,355412488.0,188549902.0,23492186.0
2025,1455781280.0,2544662.0,6972.0,11798919.0,16134884.0,857234873.0,7917550.0,251758522.0,187291877.0,24956532.0
