date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,55988537.0,212568208.0,217918105.0,3798553.0,643382125.0,45275407.0,9498690.0,90813324.0,41026596.0,172001756.0
2003,51532031.0,216307546.0,112104488.0,544157.0,1572019485.0,20755051.0,9907155.0,75049939.0,46805408.0,129715333.0
2004,51903904.0,223417492.0,55537332.0,151913.0,890511221.0,39421660.0,20658987.0,43291383.0,51410154.0,158948251.0
2005,58188838.0,164449467.0,44276465.0,189307.0,497562697.0,84002041.0,36738064.0,47283987.0,76585980.0,134710020.0
2006,61144986.0,177695903.0,121716979.0,241368.0,369126824.0,58995877.0,23253254.0,87848104.0,66359337.0,135808258.0
2007,77525947.0,202831191.0,450059625.0,252288.0,591909797.0,92764011.0,33192785.0,151692181.0,64697132.0,147494787.0
2008,88326139.0,168052299.0,98194664.0,233702.0,879480680.0,157173525.0,20286447.0,208457988.0,51569837.0,104725534.0
2009,60259434.0,169717104.0,54671476.0,259058.0,1430144775.0,137729208.0,22290146.0,84258344.0,55609553.0,192542857.0
2010,57088498.0,118731047.0,24164781.0,318099.0,839230911.0,69685590.0,20162644.0,79731768.0,49738587.0,146827789.0
2011,56930834.0,76626984.0,22096354.0,270135.0,231054553.0,249170793.0,10162743.0,102842354.0,44344261.0,77119374.0
2012,62250064.0,71603091.0,13481987.0,96896.0,193368715.0,78340591.0,9740771.0,76670146.0,32266410.0,76237005.0
2013,63402193.0,56993672.0,9859279.0,271491.0,143266158.0,84120746.0,8690240.0,49208422.0,41784566.0,50477318.0
2014,56501194.0,60877087.0,116543439.0,164568.0,139967384.0,130513175.0,9268276.0,77427427.0,41184398.0,65704748.0
2015,47349848.0,67243707.0,7598116.0,183176.0,194403235.0,70050305.0,11156791.0,63525228.0,44193949.0,77829522.0
2016,39907242.0,60568721.0,4983400.0,142392.0,266908856.0,63489997.0,12779064.0,62842072.0,40667925.0,82202435.0
2017,35805750.0,62372694.0,198306989.0,67316.0,144618957.0,74042417.0,15484002.0,83977435.0,41546831.0,72566158.0
2018,39562793.0,61957533.0,18500214.0,60873.0,142327084.0,201023749.0,16644559.0,98858036.0,44046757.0,66732024.0
2019,43203728.0,70261283.0,227254177.0,12414.0,236940379.0,336329965.0,6559279.0,148832690.0,61912728.0,92096936.0
2020,42239312.0,64277390.0,55391953.0,38530.0,145665235.0,344281005.0,5594864.0,157789052.0,51750849.0,110389939.0
2021,36386856.0,81818623.0,37258237.0,348198.0,217342292.0,595695168.0,9940456.0,294704109.0,44647945.0,113940493.0
2022,62323451.0,146054487.0,27325.0,133697.0,329830737.0,2309181627.0,9013023.0,308616699.0,55850889.0,174767003.0
2023,103022085.0,139530898.0,1906645.0,900747.0,314460352.0,574867638.0,8725530.0,115999763.0,55634311.0,152606229.0
2024,71443038.0,110014253.0,1139395.0,119316.0,375182893.0,1021214370.0,10953968.0,130702488.0,61340434.0,181610380.0
