date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2002-01-01,2953400.0,291100.0,76100.0,37800.0,1081900.0,51234000.0,65300.0,48688600.0,7124800.0,932700.0,2953400.0,291100.0,76100.0,37800.0,1081900.0,51234000.0,65300.0,48688600.0,7124800.0,932700.0
2002-02-01,1258100.0,241700.0,4000.0,18800.0,1019400.0,30126300.0,77400.0,38410300.0,2649500.0,487600.0,2105750.0,266400.0,40050.0,28300.0,1050650.0,40680150.0,71350.0,43549450.0,4887150.0,710150.0
2002-03-01,975500.0,285800.0,315800.0,500700.0,1833800.0,8982900.0,75100.0,49977300.0,2238900.0,860700.0,1729000.0,272866.6666666667,131966.66666666666,185766.66666666666,1311700.0,30114400.0,72600.0,45692066.666666664,4004400.0,760333.3333333334
2002-04-01,1797000.0,281800.0,129400.0,1558000.0,1859500.0,5382500.0,85900.0,26059300.0,7844300.0,808100.0,1746000.0,275100.0,131325.0,528825.0,1448650.0,23931425.0,75925.0,40783875.0,4964375.0,772275.0
2002-05-01,2194900.0,239000.0,79600.0,,1571500.0,51559400.0,27400.0,4818100.0,1318000.0,813800.0,1835780.0,267880.0,120980.0,528825.0,1473220.0,29457020.0,66220.0,33590720.0,4235100.0,780580.0
2002-06-01,1984200.0,315100.0,70400.0,19500.0,1339100.0,42037400.0,212500.0,2445700.0,1156200.0,792300.0,1860516.6666666667,275750.0,112550.0,426960.0,1450866.6666666667,31553750.0,90600.0,28399883.333333332,3721950.0,782533.3333333334
2002-07-01,2179100.0,380300.0,139200.0,500000.0,1632900.0,82669400.0,135300.0,3885600.0,1326400.0,1143200.0,1731466.6666666667,290616.6666666667,123066.66666666667,519400.0,1542700.0,36792983.333333336,102266.66666666667,20932716.666666668,2755550.0,817616.6666666666
2002-08-01,1215100.0,228300.0,67800.0,,1071100.0,53269300.0,47900.0,1839200.0,1408300.0,398300.0,1724300.0,288383.3333333333,133700.0,644550.0,1551316.6666666667,40650150.0,97350.0,14837533.333333334,2548683.3333333335,802733.3333333334
2002-09-01,1248200.0,329400.0,110400.0,1012100.0,1076200.0,251900.0,94200.0,2520300.0,1246100.0,882700.0,1769750.0,295650.0,99466.66666666667,772400.0,1425050.0,39194983.333333336,100533.33333333333,6928033.333333333,2383216.6666666665,806400.0
2002-10-01,1508500.0,319600.0,164400.0,538500.0,1193200.0,13169400.0,223000.0,3348900.0,1469900.0,910000.0,1721666.6666666667,301950.0,105300.0,517525.0,1314000.0,40492800.0,123383.33333333333,3142966.6666666665,1320816.6666666667,823383.3333333334
2002-11-01,1415000.0,325000.0,118600.0,18500.0,885800.0,293500.0,164400.0,9323100.0,1915500.0,612800.0,1591683.3333333333,316283.3333333333,111800.0,417720.0,1199716.6666666667,31948483.333333332,146216.66666666666,3893800.0,1420400.0,789883.3333333334
2002-12-01,1431500.0,302700.0,19800.0,1529700.0,1011100.0,121700.0,147600.0,15064800.0,2354300.0,663000.0,1499566.6666666667,314216.6666666667,103366.66666666667,719760.0,1145050.0,24962533.333333332,135400.0,5996983.333333333,1620083.3333333333,768333.3333333334
2003-01-01,3271700.0,320700.0,105800.0,519200.0,1359900.0,36798500.0,188300.0,44230600.0,3215700.0,877700.0,1681666.6666666667,304283.3333333333,97800.0,723600.0,1099550.0,17317383.333333332,144233.33333333334,12721150.0,1934966.6666666667,724083.3333333334
2003-02-01,1098600.0,318600.0,81800.0,,1376100.0,30205100.0,199100.0,45108200.0,4232800.0,813500.0,1662250.0,319333.3333333333,100133.33333333333,723600.0,1150383.3333333333,13473350.0,169433.33333333334,19932650.0,2405716.6666666665,793283.3333333334
