date,active_pop,employed_nr,unemployed_nr,unemployed_yearly_avg,employed_yearly_avg,active_pop_yearly_avg
1998Q1,4484900.0,3952800.0,532100.0,532100.0,3952800.0,4484900.0
1998Q2,4503400.0,4014200.0,489200.0,510650.0,3983500.0,4494150.0
1998Q3,4539300.0,4047900.0,491400.0,504233.3,4004966.7,4509200.0
1998Q4,4535700.0,4016900.0,518800.0,507875.0,4007950.0,4515825.0
1999Q1,4589900.0,4031300.0,558600.0,514500.0,4027575.0,4542075.0
1999Q2,4574900.0,4031700.0,543200.0,528000.0,4031950.0,4559950.0
1999Q3,4569600.0,4033200.0,536400.0,539250.0,4028275.0,4567525.0
1999Q4,4575300.0,3995100.0,580200.0,554600.0,4022825.0,4577425.0
2000Q1,4583400.0,4018500.0,564900.0,556175.0,4019625.0,4575800.0
2000Q2,4610400.0,4091300.0,519100.0,550150.0,4034525.0,4584675.0
2000Q3,4623900.0,4119500.0,504400.0,542150.0,4056100.0,4598250.0
2000Q4,4603700.0,4098800.0,504900.0,523325.0,4082025.0,4605350.0
2001Q1,4732700.0,4200500.0,532200.0,515150.0,4127525.0,4642675.0
2001Q2,4710800.0,4217600.0,493200.0,508675.0,4159100.0,4667775.0
2001Q3,4702100.0,4220300.0,481800.0,503025.0,4184300.0,4687325.0
2001Q4,4672700.0,4146399.9999999995,526300.0000000005,508375.0,4196200.0,4704575.0
2002Q1,4697900.0,4161000.0,536900.0,509550.0,4186325.0,4695875.0
2002Q2,4748400.0,4273900.0,474500.0,504875.0,4200400.0,4705275.0
2002Q3,4774100.0,4303300.0,470800.0,502125.0,4221150.0,4723275.0
2002Q4,4775700.0,4287700.0,488000.0,492550.0,4256475.0,4749025.0
2003Q1,4794500.0,4293300.0,501200.0,483625.0,4289550.0,4773175.0
2003Q2,4811500.0,4357900.0,453600.0,478400.0,4310550.0,4788950.0
2003Q3,4831200.0,4379800.0,451400.0,473550.0,4329675.0,4803225.0
2003Q4,4830200.0,4346300.0,483900.0,472525.0,4344325.0,4816850.0
2004Q1,4882200.0,4324000.0,558200.0,486775.0,4352000.0,4838775.0
2004Q2,4909200.0,4402200.0,507000.0,500125.0,4363075.0,4863200.0
2004Q3,4907800.0,4407900.0,499900.0,512250.0,4370100.0,4882350.0
2004Q4,4907500.0,4392900.0,514600.0,519925.0,4381750.0,4901675.0
2005Q1,4904100.0,4387200.0,516900.0,509600.0,4397550.0,4907150.0
2005Q2,4929600.0,4447900.0,481700.0,503275.0,4408975.0,4912250.0
2005Q3,4939400.0,4452900.0,486500.0,499925.0,4420225.0,4920150.0
2005Q4,4943000.0,4454600.0,488400.0,493375.0,4435650.0,4929025.0
2006Q1,4962100.0,4473700.0,488400.0,486250.0,4457275.0,4943525.0
2006Q2,4963100.0,4522400.0,440700.0,476000.0,4475900.0,4951900.0
2006Q3,4979500.0,4558600.0,420900.0,459600.0,4502325.0,4961925.0
2006Q4,4962200.0,4519400.0,442800.0,448200.0,4518525.0,4966725.0
2007Q1,4961200.0,4502100.0,459100.0,440875.0,4525625.0,4966500.0
2007Q2,4971500.0,4563000.0,408500.0,432825.0,4535775.0,4968600.0
2007Q3,4984400.0,4586200.0,398200.0,427150.0,4542675.0,4969825.0
2007Q4,4974300.0,4566800.0,407500.0,418325.0,4554525.0,4972850.0
2008Q1,4974800.0,4556200.0,418600.0,408200.0,4568050.0,4976250.0
2008Q2,4993000.0,4626300.0,366700.0,397750.0,4583875.0,4981625.0
2008Q3,4992600.0,4628600.0,364000.0,389200.0,4594475.0,4983675.0
2008Q4,4988700.0,4586500.0,402200.0,387875.0,4599400.0,4987275.0
2009Q1,5010900.0,4534100.0,476800.0,402425.0,4593875.0,4996300.0
2009Q2,5028900.0,4573300.0,455600.0,424650.0,4580625.0,5005275.0
2009Q3,5053000.0,4575000.0,478000.0,453150.0,4567225.0,5020375.0
2009Q4,5027000.0,4498400.0,528600.0,484750.0,4545200.0,5029950.0
2010Q1,5035800.0,4435600.0,600200.0,515600.0,4520575.0,5036175.0
2010Q2,5029500.0,4424900.0,604600.0,552850.0,4483475.0,5036325.0
2010Q3,5018500.0,4386600.0,631900.0,591325.0,4436375.0,5027700.0
2010Q4,4987500.0,4266800.0,720700.0,639350.0,4378475.0,5017825.0
2011Q1,4954000.0,4154399.9999999995,799600.0000000005,689200.0,4308175.0,4997375.0
2011Q2,4929200.0,4113600.0000000005,815599.9999999995,741950.0,4230350.0,4972300.0
2011Q3,4912900.0,4029400.0,883500.0,804850.0,4141050.0,4945900.0
2011Q4,4905500.0,3876900.0,1028600.0,881825.0,4043575.0,4925400.0
2012Q1,4895600.0,3776500.0,1119100.0,961700.0,3949100.0,4910800.0
2012Q2,4885600.0,3722600.0,1163000.0,1048550.0,3851350.0,4899900.0
2012Q3,4878200.0,3659800.0,1218400.0,1132275.0,3758950.0,4891225.0
2012Q4,4870200.0,3590300.0,1279900.0,1195100.0,3687300.0,4882400.0
2013Q1,4835600.0,3499700.0,1335900.0,1249300.0,3618100.0,4867400.0
2013Q2,4857900.0,3530000.0,1327900.0,1290525.0,3569950.0,4860475.0
2013Q3,4848500.0,3528200.0,1320300.0,1316000.0,3537050.0,4853050.0
2013Q4,4810700.0,3473500.0,1337200.0,1330325.0,3507850.0,4838175.0
2014Q1,4818100.0,3475800.0,1342300.0,1331925.0,3501875.0,4833800.0
2014Q2,4811400.0,3531300.0,1280100.0,1319975.0,3502200.0,4822175.0
2014Q3,4808300.0,3579000.0,1229300.0,1297225.0,3514900.0,4812125.0
2014Q4,4773500.0,3527700.0,1245800.0,1274375.0,3528450.0,4802825.0
2015Q1,4769400.0,3496800.0,1272600.0,1256950.0,3533700.0,4790650.0
2015Q2,4797400.0,3617300.0,1180100.0,1231950.0,3555200.0,4787150.0
2015Q3,4823400.0,3662900.0,1160500.0,1214750.0,3576175.0,4790925.0
2015Q4,4809500.0,3634800.0,1174700.0,1196975.0,3602950.0,4799925.0
2016Q1,4796000.0,3600900.0,1195100.0,1177600.0,3628975.0,4806575.0
2016Q2,4810100.0,3698000.0,1112100.0,1160600.0,3649150.0,4809750.0
2016Q3,4824300.0,3731700.0,1092600.0,1143625.0,3666350.0,4809975.0
2016Q4,4767800.0,3643800.0,1124000.0,1130950.0,3668600.0,4799550.0
2017Q1,4769300.0,3654600.0,1114700.0,1110850.0,3682025.0,4792875.0
2017Q2,4802900.0,3786300.0,1016600.0,1086975.0,3704100.0,4791075.0
2017Q3,4788900.0,3818900.0,970000.0,1056325.0,3725900.0,4782225.0
2017Q4,4738600.0,3731700.0,1006900.0,1027050.0,3747875.0,4774925.0
2018Q1,4720100.0,3718900.0,1001200.0,998675.0,3763950.0,4762625.0
2018Q2,4761800.0,3855800.0,906000.0,971025.0,3781325.0,4752350.0
2018Q3,4762000.0,3890300.0,871700.0,946450.0,3799175.0,4745625.0
2018Q4,4710700.0,3829600.0,881100.0,915000.0,3823650.0,4738650.0
2019Q1,4715700.0,3808600.0,907100.0,891475.0,3846075.0,4737550.0
2019Q2,4755500.0,3950400.0,805100.0,866250.0,3869725.0,4735975.0
2019Q3,4741600.0,3964600.0,777000.0,842575.0,3888300.0,4730875.0
2019Q4,4681300.0,3894900.0,786400.0,818900.0,3904625.0,4723525.0
2020Q1,4592000.0,3846900.0,745100.0,778400.0,3914200.0,4692600.0
2020Q2,4607300.0,3839100.0,768200.0,769175.0,3886375.0,4655550.0
2020Q3,4678700.0,3922300.0,756400.0,764025.0,3875800.0,4639825.0
2020Q4,4624400.0,3874200.0,750200.0,754975.0,3870625.0,4625600.0
