date,EL,EU
04/1998,10.9,
05/1998,11.0,
06/1998,10.9,
07/1998,11.0,
08/1998,11.2,
09/1998,11.1,
10/1998,11.1,
11/1998,11.4,
12/1998,11.4,
01/1999,11.4,
02/1999,11.4,
03/1999,11.4,
04/1999,12.1,
05/1999,12.0,
06/1999,12.0,
07/1999,12.0,
08/1999,12.1,
09/1999,12.0,
10/1999,12.3,
11/1999,12.4,
12/1999,12.3,
01/2000,11.5,9.7
02/2000,11.6,9.7
03/2000,11.6,9.7
04/2000,11.5,9.6
05/2000,11.5,9.6
06/2000,11.4,9.5
07/2000,11.3,9.5
08/2000,11.2,9.4
09/2000,11.2,9.4
10/2000,10.6,9.3
11/2000,10.7,9.3
12/2000,10.6,9.3
01/2001,10.5,9.2
02/2001,10.5,9.2
03/2001,10.5,9.2
04/2001,10.7,9.3
05/2001,10.7,9.3
06/2001,10.7,9.3
07/2001,10.7,9.3
08/2001,10.6,9.3
09/2001,10.6,9.3
10/2001,10.9,9.4
11/2001,10.9,9.4
12/2001,10.8,9.5
01/2002,10.7,9.5
02/2002,10.7,9.5
03/2002,10.7,9.5
04/2002,10.3,9.6
05/2002,10.3,9.6
06/2002,10.3,9.6
07/2002,10.3,9.7
08/2002,10.2,9.7
09/2002,10.2,9.8
10/2002,10.0,9.7
11/2002,10.0,9.8
12/2002,10.0,9.8
01/2003,9.8,9.8
02/2003,9.7,9.8
03/2003,9.7,9.8
04/2003,9.7,9.8
05/2003,9.7,9.8
06/2003,9.7,9.9
07/2003,9.7,9.9
08/2003,9.7,9.9
09/2003,9.7,9.9
10/2003,9.9,9.9
11/2003,9.9,9.9
12/2003,9.9,10.0
01/2004,11.1,10.1
02/2004,10.7,10.1
03/2004,10.8,10.1
04/2004,10.6,10.0
05/2004,10.6,10.0
06/2004,10.6,10.0
07/2004,10.7,9.9
08/2004,10.6,9.9
09/2004,10.4,10.0
10/2004,10.4,10.0
11/2004,10.4,10.0
12/2004,10.2,9.9
01/2005,10.2,9.8
02/2005,9.9,9.8
03/2005,10.0,9.8
04/2005,10.0,9.8
05/2005,10.1,9.8
06/2005,10.2,9.8
07/2005,10.2,9.7
08/2005,10.3,9.6
09/2005,10.3,9.6
10/2005,10.0,9.6
11/2005,9.7,9.5
12/2005,9.6,9.4
01/2006,9.3,9.3
02/2006,9.4,9.2
03/2006,9.1,9.1
04/2006,9.1,9.0
05/2006,9.1,8.9
06/2006,9.1,8.7
07/2006,8.9,8.7
08/2006,8.9,8.6
09/2006,8.8,8.5
10/2006,8.5,8.4
11/2006,8.9,8.3
12/2006,8.9,8.2
01/2007,8.6,8.0
02/2007,8.7,7.9
03/2007,8.7,7.8
04/2007,8.5,7.7
05/2007,8.6,7.6
06/2007,8.5,7.5
07/2007,8.3,7.5
08/2007,8.5,7.5
09/2007,8.4,7.4
10/2007,8.2,7.4
11/2007,7.9,7.3
12/2007,8.0,7.3
01/2008,7.6,7.2
02/2008,7.8,7.1
03/2008,8.0,7.1
04/2008,7.8,7.2
05/2008,7.5,7.2
06/2008,7.6,7.3
07/2008,7.6,7.2
08/2008,7.8,7.3
09/2008,7.8,7.3
10/2008,7.6,7.5
11/2008,8.0,7.7
12/2008,8.4,7.9
01/2009,9.0,8.4
02/2009,9.3,8.7
03/2009,9.2,8.9
04/2009,9.3,9.1
05/2009,9.5,9.2
06/2009,9.5,9.3
07/2009,9.8,9.4
08/2009,9.9,9.5
09/2009,10.1,9.7
10/2009,10.1,9.7
11/2009,10.7,9.8
12/2009,10.7,9.9
01/2010,11.1,10.1
02/2010,11.6,10.1
03/2010,11.7,10.1
04/2010,12.2,10.2
05/2010,12.5,10.1
06/2010,12.7,10.1
07/2010,13.1,10.0
08/2010,13.1,10.0
09/2010,13.6,10.0
10/2010,14.2,10.1
11/2010,14.3,10.0
12/2010,14.9,10.0
01/2011,15.3,10.0
02/2011,15.6,9.9
03/2011,16.3,9.9
04/2011,16.7,9.9
05/2011,16.9,9.9
06/2011,17.4,9.9
07/2011,18.1,10.0
08/2011,18.8,10.1
09/2011,19.2,10.2
10/2011,20.5,10.3
11/2011,20.6,10.4
12/2011,21.4,10.5
01/2012,21.7,10.6
02/2012,22.3,10.7
03/2012,23.0,10.8
04/2012,23.6,10.9
05/2012,24.2,11.0
06/2012,25.2,11.0
07/2012,25.6,11.1
08/2012,26.0,11.1
09/2012,26.4,11.2
10/2012,26.2,11.4
11/2012,27.0,11.5
12/2012,26.8,11.5
01/2013,27.3,11.7
02/2013,27.3,11.7
03/2013,27.6,11.7
04/2013,28.0,11.7
05/2013,28.0,11.7
06/2013,27.9,11.6
07/2013,28.1,11.5
08/2013,28.0,11.5
09/2013,28.1,11.5
10/2013,27.7,11.5
11/2013,27.9,11.5
12/2013,27.7,11.4
01/2014,27.3,11.4
02/2014,27.5,11.4
03/2014,27.2,11.3
04/2014,27.2,11.2
05/2014,27.2,11.1
06/2014,26.6,11.0
07/2014,26.5,10.9
08/2014,26.3,10.8
09/2014,26.1,10.8
10/2014,26.1,10.8
11/2014,25.8,10.9
12/2014,25.8,10.7
01/2015,25.8,10.7
02/2015,25.9,10.6
03/2015,25.9,10.5
04/2015,25.4,10.4
05/2015,24.9,10.3
06/2015,24.9,10.3
07/2015,25.0,10.1
08/2015,24.4,10.0
09/2015,24.7,9.9
10/2015,24.7,9.9
11/2015,24.3,9.8
12/2015,24.2,9.8
01/2016,24.6,9.7
02/2016,24.2,9.6
03/2016,24.2,9.5
04/2016,23.8,9.4
05/2016,23.9,9.4
06/2016,23.7,9.3
07/2016,23.7,9.2
08/2016,23.9,9.1
09/2016,23.5,9.1
10/2016,23.5,9.0
11/2016,23.8,9.0
12/2016,23.8,8.9
01/2017,23.5,8.7
02/2017,23.1,8.7
03/2017,22.5,8.6
04/2017,22.1,8.4
05/2017,22.1,8.4
06/2017,21.5,8.3
07/2017,21.3,8.2
08/2017,21.1,8.1
09/2017,21.1,8.1
10/2017,21.1,8.0
11/2017,21.3,7.9
12/2017,21.2,7.9
01/2018,20.9,7.8
02/2018,21.2,7.7
03/2018,20.7,7.6
04/2018,20.2,7.6
05/2018,19.6,7.4
06/2018,19.5,7.4
07/2018,19.4,7.3
08/2018,19.3,7.2
09/2018,19.2,7.2
10/2018,19.0,7.2
11/2018,19.1,7.2
12/2018,19.0,7.1
01/2019,19.4,7.1
02/2019,19.3,7.1
03/2019,18.9,7.0
04/2019,18.2,6.9
05/2019,17.5,6.9
06/2019,17.5,6.7
07/2019,17.6,6.8
08/2019,17.4,6.7
09/2019,17.4,6.7
10/2019,17.1,6.7
11/2019,17.0,6.7
12/2019,16.9,6.7
01/2020,16.5,6.7
02/2020,16.4,6.6
03/2020,16.9,6.5
04/2020,18.5,6.8
05/2020,19.5,7.0
06/2020,20.3,7.4
07/2020,17.6,7.7
08/2020,16.9,7.8
09/2020,16.9,7.8
10/2020,17.6,7.6
11/2020,17.3,7.5
12/2020,16.7,7.5
01/2021,16.4,7.5
02/2021,15.9,7.5
03/2021,17.1,7.5
04/2021,17.3,7.5
05/2021,15.6,7.3
06/2021,15.0,7.1
07/2021,14.3,6.9
08/2021,13.7,6.8
09/2021,13.2,6.7
10/2021,13.2,6.6
11/2021,13.0,6.5
12/2021,12.9,6.4
01/2022,13.5,6.3
02/2022,13.1,6.2
03/2022,12.8,6.2
04/2022,12.5,6.1
05/2022,12.5,6.1
06/2022,12.3,6.1
07/2022,11.4,6.0
