Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,365000.0,,380000.0,,,,434006.0,,445823.0,,,
Austria,,,76445.0,,,85914.2,,,82680.6,,,,127789.2,,
Belgium,,206248.6,,,,217943.2,,,212450.43,,,242426.674,,,
Canada,,,,211800.0,,,,258500.0,,,273000.0,,,,428300.0
Chile,,,12233928.0,,,17747803.0,,,25552390.4666667,,,,39696443.3333333,,
Croatia,,,,,,,,,61050.2680110931,,,65115.0337544203,,,
Czechia,,,,,,,,,,,,,2495459.4910754,,
Denmark,,,,,,,212967.0,,,,298779.0,,,447025.0,
Estonia,,,,,43474.246882928,,,,47724.2,,,,66243.0,,
Finland,96515.19986429,,,,108793.0,,,107207.0,,,104000.0,,,,
France,115687.0,,,,,113300.0,,,117551.0,,,125673.0,,,
Germany,,,51358.0,,,60790.0,,,70780.0,,,,106652.4,,
Greece,101933.6,,,,,65057.6,,,,60035.6,,,84613.6,,
Hungary,,,,,,8095629.31610336,,,11248543.2877845,,,19551422.7671622,,,
Ireland,,,,,100600.0,,,,,179090.0,,193728.8,,,
Italy,,173386.7853197,,,,147000.0,,132265.759839,,,,159000.0,,,
Japan,,,,,,20147000.0,,,,,14718000.0,,,,
Korea,,,,,146960000.0,,164840000.0,,,,200500000.0,,,,239100000.0
Latvia,,,,,,14180.4536,,,20477.2,,,31281.8,,,
Lithuania,,,,,,,,45880.096,,,,,53657.3324032381,,
Luxembourg,,,397840.8,,,437510.4,,,,498453.6,,,717660.0,,
Netherlands,,,31800.0,,,,20900.0,,,,52000.0,,,135300.0,133300.0
New Zealand,,,,,,289000.0,,,,340000.0,,,,,
Norway,,,,998500.0,,,1163457.0,,,1312669.0,,,,1818065.0,
Poland,,,,,,239274.617069078,,263945.430699555,,,,,,,
Portugal,,78738.6,,,67021.2,,,,74780.0,,,99636.6,,,
Slovak Republic,,61182.34,,,,50316.0,,,70302.0,,,,96958.8,,
Slovenia,,,,,,80366.8,,,91554.8,,,,118809.2,,
Spain,,,,159639.2,,122290.8,,,,119774.4,,,127677.0,,
United Kingdom,164000.0,,170500.0,,168900.0,,183000.0,,182500.0,,,,,,
United States,,62500.0,,,64600.0,,,77400.0,,,97400.0,,,165700.0,
